Gene Symbol,Gene ID (HGNC),Disease Label,Disease ID (MONDO),MOI,SOP,Classification,Online Report_x,Classification Date,GCEP,Gene/Region,HGNC/ISCA,GRCh37,GRCh38,Haploinsufficiency,Triplosensitivity,Online Report_y,Date,Protein Name
TUFM,HGNC:12420,mitochondrial disease,MONDO:0044970,AR,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_da1707cf-80cd-4669-be96-b273ac96b8b4-2023-10-02T040000.000Z,2023-10-02T04:00:00.000Z,Mitochondrial Diseases Gene Curation Expert Panel,TUFM,HGNC:12420,chr16:28853732-28857669,chr16:28842411-28846348,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TUFM&subject=,2016-08-22T17:53:14Z,Not Found
PSPH,HGNC:9577,neurometabolic disorder due to serine deficiency,MONDO:0018162,AR,SOP11,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fa832956-c4e9-4620-a2e7-3d6d6e9eea8c-2024-12-13T170000.000Z,2024-12-13T17:00:00.000Z,Aminoacidopathy Gene Curation Expert Panel,PSPH,HGNC:9577,chr7:56078757-56119137,chr7:56011064-56051444,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=PSPH&subject=,2016-08-22T17:51:43Z,Not Found
GDF2,HGNC:4217,"telangiectasia, hereditary hemorrhagic, type 5",MONDO:0014217,AD,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_00608fb7-3483-495a-8f9e-76aabb4b1dc0-2023-04-03T160000.000Z,2023-04-03T16:00:00.000Z,Hemostasis/Thrombosis Gene Curation Expert Panel,GDF2,HGNC:4217,chr10:48411774-48416908,chr10:47322454-47327588,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=GDF2&subject=,2016-10-13T18:40:34Z,Not Found
GFM1,HGNC:13780,Leigh syndrome,MONDO:0009723,AR,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_154a8f96-7062-49c7-9aaa-b23a98655f40-2019-12-19T185108.232Z,2019-12-19T18:51:08.232Z,Mitochondrial Diseases Gene Curation Expert Panel,GFM1,HGNC:13780,chr3:158362316-158413370,chr3:158644527-158695581,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=GFM1&subject=,2016-08-22T17:48:53Z,Not Found
TTN,HGNC:12403,tibial muscular dystrophy,MONDO:0010870,AD,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ec556f45-8dbc-43f0-96df-29e69d7f3411-2022-03-14T205017.462Z,2022-03-14T20:50:17.462Z,Congenital Myopathies Gene Curation Expert Panel,TTN,HGNC:12403,chr2:179390716-179672150,chr2:178525989-178807423,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TTN&subject=,2021-08-02T15:57:37Z,Not Found
DNM1,HGNC:2972,developmental and epileptic encephalopathy,MONDO:0100062,AR,SOP10,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0d252b0e-4777-4fbf-a23f-4ea7175b37d5-2024-02-06T200000.000Z,2024-02-06T20:00:00.000Z,Epilepsy Gene Curation Expert Panel,DNM1,HGNC:2972,chr9:130965658-131017523,chr9:128203379-128255244,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=DNM1&subject=,2023-08-08T16:33:21Z,Not Found
IGLL1,HGNC:5870,"agammaglobulinemia 2, autosomal recessive",MONDO:0013287,AR,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b483cc35-0599-4313-b71a-835cb1096ca5-2021-12-21T133220.444Z,2021-12-21T13:32:20.444Z,Antibody Deficiencies Gene Curation Expert Panel,IGLL1,HGNC:5870,chr22:23915312-23922477,chr22:23573125-23580290,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=IGLL1&subject=,2016-08-22T17:49:27Z,Not Found
WRAP53,HGNC:25522,dyskeratosis congenita,MONDO:0015780,AR,SOP4,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_3207,2017-01-25T00:00:00,General Gene Curation Expert Panel,WRAP53,HGNC:25522,chr17:7589389-7606820,chr17:7686071-7703502,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=WRAP53&subject=,2017-12-15T15:06:01Z,Not Found
MTAP,HGNC:7413,diaphyseal medullary stenosis-bone malignancy syndrome,MONDO:0007205,AD,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3c2243ec-a10f-4aab-aaf9-99153d805455-2021-06-15T232951.915Z,2021-06-15T23:29:51.915Z,Hereditary Cancer Gene Curation Expert Panel,MTAP,HGNC:7413,chr9:21802635-21867080,chr9:21802636-21941115,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=MTAP&subject=,2022-10-12T17:00:57Z,Not Found
PAX5,HGNC:8619,PAX5-related B lymphopenia and autism spectrum disorder,MONDO:0100299,AR,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_111b7453-55ff-4638-9cb7-1936400ec2a4-2023-02-28T170000.000Z,2023-02-28T17:00:00.000Z,Antibody Deficiencies Gene Curation Expert Panel,PAX5,HGNC:8619,chr9:36833266-37034265,chr9:36833269-37034268,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=PAX5&subject=,2025-02-12T20:09:17Z,Not Found
KDM5B,HGNC:18039,intellectual disability,MONDO:0001071,AR,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2ae3441f-82f6-4985-ba48-fd1de8ea6ce4-2022-03-01T170000.000Z,2022-03-01T17:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,KDM5B,HGNC:18039,chr1:202693623-202778598,chr1:202724495-202808421,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=KDM5B&subject=,2018-01-04T20:56:03Z,Not Found
SUCLG1,HGNC:11449,Leigh syndrome,MONDO:0009723,AR,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_fd0a5a96-69b8-47fb-9b7b-17de29439ecc-2019-04-18T181448.882Z,2019-04-18T18:14:48.882Z,Mitochondrial Diseases Gene Curation Expert Panel,SUCLG1,HGNC:11449,chr2:84650652-84686404,chr2:84423528-84459280,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SUCLG1&subject=,2016-08-22T17:52:38Z,Not Found
ORC4,HGNC:8490,Meier-Gorlin syndrome 2,MONDO:0013428,AR,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d00eb95c-5496-4051-a4e1-c327b71fe6e4-2023-05-30T160000.000Z,2023-05-30T16:00:00.000Z,Syndromic Disorders Gene Curation Expert Panel,ORC4,HGNC:8490,chr2:148687965-148779120,chr2:147930396-148021551,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ORC4&subject=,2015-11-06T04:38:54Z,Not Found
ACTC1,HGNC:143,dilated cardiomyopathy,MONDO:0005021,AD,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3e9b4048-3003-4180-b891-fcf10d25a814-2020-08-12T160000.000Z,2020-08-12T16:00:00.000Z,Dilated Cardiomyopathy Gene Curation Expert Panel,ACTC1,HGNC:143,chr15:35082431-35087750,chr15:34790230-34795549,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ACTC1&subject=,2024-09-10T16:57:33Z,Not Found
TRMU,HGNC:25481,Leigh syndrome,MONDO:0009723,AR,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_d1d9d958-be13-4018-ab9c-305788171d1e-2021-01-21T004755.799Z,2021-01-21T00:47:55.799Z,Mitochondrial Diseases Gene Curation Expert Panel,TRMU,HGNC:25481,chr22:46731611-46753237,chr22:46335714-46357340,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TRMU&subject=,2016-08-22T17:53:05Z,Not Found
SYNE4,HGNC:26703,nonsyndromic genetic hearing loss,MONDO:0019497,AR,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_7ba8e80d-ccfe-4c9d-a2a9-6abaa9dfacc6-2020-02-06T171016.249Z,2020-02-06T17:10:16.249Z,Hearing Loss Gene Curation Expert Panel,SYNE4,HGNC:26703,chr19:36494209-36499715,chr19:36003307-36008813,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SYNE4&subject=,2016-08-22T17:52:41Z,Not Found
GRIK2,HGNC:4580,complex neurodevelopmental disorder,MONDO:0100038,AR,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1939b90b-f1e4-4426-9f8c-5526f9003f10-2022-02-10T070000.000Z,2022-02-10T07:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,GRIK2,HGNC:4580,chr6:101841584-102517958,chr6:101393708-102070083,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=GRIK2&subject=,2012-09-05T14:36:18Z,Not Found
WHRN,HGNC:16361,nonsyndromic genetic hearing loss,MONDO:0019497,AR,SOP10,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3188ec93-954a-4daa-b99d-7c5fccad8e1a-2024-01-17T170000.000Z,2024-01-17T17:00:00.000Z,Hearing Loss Gene Curation Expert Panel,WHRN,HGNC:16361,chr9:117164360-117267753,chr9:114402080-114505473,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=WHRN&subject=,2016-08-22T17:47:49Z,Not Found
SYP,HGNC:11506,non-syndromic X-linked intellectual disability,MONDO:0019181,XL,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b0d770a5-873c-4a55-98da-fa8d235ff93b-2020-12-16T170000.000Z,2020-12-16T17:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,SYP,HGNC:11506,chrX:49044268-49056652,chrX:49187815-49200193,Little Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SYP&subject=,2018-09-26T16:54:15Z,Not Found
PDSS2,HGNC:23041,Leigh syndrome,MONDO:0009723,AR,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5e0928f3-2b7d-4622-bc96-68a4d0078826-2021-03-11T172336.036Z,2021-03-11T17:23:36.036Z,Mitochondrial Diseases Gene Curation Expert Panel,PDSS2,HGNC:23041,chr6:107473766-107780768,chr6:107152562-107459564,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=PDSS2&subject=,2016-08-22T17:51:04Z,Not Found
TPM1,HGNC:12010,dilated cardiomyopathy,MONDO:0005021,AD,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1173d239-23cf-4c9c-9ea5-f95d9356e6c7-2020-11-13T170000.000Z,2020-11-13T17:00:00.000Z,Dilated Cardiomyopathy Gene Curation Expert Panel,TPM1,HGNC:12010,chr15:63334946-63364114,chr15:63042747-63071915,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TPM1&subject=,2015-11-09T15:55:57Z,Not Found
PDX1,HGNC:6107,monogenic diabetes,MONDO:0015967,AD,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_5487c912-a653-411d-b640-a51c60f51fa6-2022-06-16T160000.000Z,2022-06-16T16:00:00.000Z,Monogenic Diabetes Gene Curation Expert Panel,PDX1,HGNC:6107,chr13:28494137-28500450,chr13:27920000-27926313,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=PDX1&subject=,2016-08-22T17:51:05Z,Not Found
TPK1,HGNC:17358,Leigh syndrome,MONDO:0009723,AR,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_74e89426-cb27-4474-b892-dc303a9de644-2021-01-14T212800.773Z,2021-01-14T21:28:00.773Z,Mitochondrial Diseases Gene Curation Expert Panel,TPK1,HGNC:17358,chr7:144149034-144533146,chr7:144451941-144836437,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TPK1&subject=,2016-08-22T17:52:57Z,Not Found
ALAD,HGNC:395,porphyria due to ALA dehydratase deficiency,MONDO:0013000,AR,SOP10,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0ac683af-ca8d-46ab-8641-66ab9b537d16-2025-01-14T200000.000Z,2025-01-14T20:00:00.000Z,General Inborn Errors of Metabolism Gene Curation Expert Panel,ALAD,HGNC:395,chr9:116148592-116163564,chr9:113386312-113401284,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ALAD&subject=,2016-08-22T17:45:50Z,Not Found
TWIST1,HGNC:12428,TWIST1-related craniosynostosis,MONDO:0007399,AD,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_bda425f8-b760-4484-9336-b3e572d402ab-2021-06-10T160000.000Z,2021-06-10T16:00:00.000Z,Craniofacial Malformations Gene Curation Expert Panel,TWIST1,HGNC:12428,chr7:19152670-19157259,chr7:19113047-19117636,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TWIST1&subject=,2020-12-16T17:30:30Z,Not Found
TTN,HGNC:12403,"myopathy, myofibrillar, 9, with early respiratory failure",MONDO:0011362,AD,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_bade9ef3-17fa-42ee-a2d7-9c9b985b1503-2022-03-14T205117.630Z,2022-03-14T20:51:17.630Z,Congenital Myopathies Gene Curation Expert Panel,TTN,HGNC:12403,chr2:179390716-179672150,chr2:178525989-178807423,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=TTN&subject=,2021-08-02T15:57:37Z,Not Found
DPM3,HGNC:3007,DPM3-congenital disorder of glycosylation,MONDO:0013049,AR,SOP10,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_76bcf111-b22b-4be4-8fe7-870c9744bf44-2023-12-06T170000.000Z,2023-12-06T17:00:00.000Z,Congenital Disorders of Glycosylation Gene Curation Expert Panel,DPM3,HGNC:3007,chr1:155112367-155113007,chr1:155139891-155140531,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=DPM3&subject=,2015-04-09T03:18:03Z,Not Found
ATP7A,HGNC:869,X-linked distal spinal muscular atrophy type 3,MONDO:0010338,XL,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ec7c42f3-3cad-4020-aa75-cf103c5381ba-2023-01-10T170000.000Z,2023-01-10T17:00:00.000Z,Charcot-Marie-Tooth Disease Gene Curation Expert Panel,ATP7A,HGNC:869,chrX:77166190-77305892,chrX:77910693-78050395,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ATP7A&subject=,2021-03-24T16:30:24Z,Not Found
FGFR3,HGNC:3690,severe achondroplasia-developmental delay-acanthosis nigricans syndrome,MONDO:0014658,AD,SOP8,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_a7daa910-8226-46cc-8a65-034c0833d9cc-2022-05-09T160000.000Z,2022-05-09T16:00:00.000Z,Skeletal Disorders Gene Curation Expert Panel,FGFR3,HGNC:3690,chr4:1795020-1810594,chr4:1793293-1808867,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=FGFR3&subject=,2011-11-09T15:19:18Z,Not Found
LITAF,HGNC:16841,Charcot-Marie-Tooth disease,MONDO:0015626,AD,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e7106097-314c-487a-9770-b7dea3f25f37-2020-04-07T160000.000Z,2020-04-07T16:00:00.000Z,Charcot-Marie-Tooth Disease Gene Curation Expert Panel,LITAF,HGNC:16841,chr16:11641578-11681322,chr16:11547722-11640317,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=LITAF&subject=,2016-10-21T20:15:32Z,Not Found
LBR,HGNC:6518,regressive spondylometaphyseal dysplasia,MONDO:0018663,AR,SOP10,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_9363af5e-5076-4f7b-bff3-3c15751bca92-2023-08-07T160000.000Z,2023-08-07T16:00:00.000Z,Skeletal Disorders Gene Curation Expert Panel,LBR,HGNC:6518,chr1:225589204-225616523,chr1:225401502-225428821,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=LBR&subject=,2015-02-23T18:21:52Z,Not Found
LBR,HGNC:6518,Greenberg dysplasia,MONDO:0008974,AR,SOP10,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_41096010-f7fc-49a5-be97-a20fc73e7e33-2023-11-01T160000.000Z,2023-11-01T16:00:00.000Z,Skeletal Disorders Gene Curation Expert Panel,LBR,HGNC:6518,chr1:225589204-225616523,chr1:225401502-225428821,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=LBR&subject=,2015-02-23T18:21:52Z,Not Found
SERPINB6,HGNC:8950,nonsyndromic genetic hearing loss,MONDO:0019497,AR,SOP9,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_b84c49a8-3b02-4e07-a0c7-80394c0cf991-2022-11-22T170000.000Z,2022-11-22T17:00:00.000Z,Hearing Loss Gene Curation Expert Panel,SERPINB6,HGNC:8950,chr6:2948393-2972027,chr6:2948159-2971793,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SERPINB6&subject=,2016-08-22T17:52:11Z,Not Found
FOXRED1,HGNC:26927,Leigh syndrome,MONDO:0009723,AR,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c74ba0cb-ccef-4a19-9fef-ef9996f72290-2019-10-16T143453.574Z,2019-10-16T14:34:53.574Z,Mitochondrial Diseases Gene Curation Expert Panel,FOXRED1,HGNC:26927,chr11:126139049-126148021,chr11:126269154-126278126,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=FOXRED1&subject=,2016-08-22T17:48:37Z,Not Found
SCN1A,HGNC:10585,familial hemiplegic migraine,MONDO:0000700,AD,SOP7,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_c8c1e158-983d-4547-a739-7781961e5bb8-2021-09-14T163408.306Z,2021-09-14T16:34:08.306Z,Epilepsy Gene Curation Expert Panel,SCN1A,HGNC:10585,chr2:166841151-167005671,chr2:165984641-166149161,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SCN1A&subject=,2012-07-06T20:26:07Z,Not Found
PMM2,HGNC:9115,hyperinsulinemic hypoglycemia with polycystic kidney disease,MONDO:1030000,AR,SOP10,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_2325bc92-b994-4c5a-b2cb-e2b757d8acbd-2024-02-28T170000.000Z,2024-02-28T17:00:00.000Z,Kidney Cystic and Ciliopathy Disorders Gene Curation Expert Panel,PMM2,HGNC:9115,chr16:8891696-8943182,chr16:8797839-8849325,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=PMM2&subject=,2016-08-22T17:51:33Z,Not Found
SOX3,HGNC:11199,SOX3-related X-linked pituitary hormone deficiency with or without intellectual developmental disorder,MONDO:0800474,XL,SOP10,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_796f4ae7-c817-44d4-935b-babf74a0ce47-2023-08-02T160000.000Z,2023-08-02T16:00:00.000Z,Syndromic Disorders Gene Curation Expert Panel,SOX3,HGNC:11199,chrX:139585150-139587234,chrX:140502985-140505069,No Evidence for Haploinsufficiency,Emerging Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SOX3&subject=,2023-01-10T18:01:22Z,Not Found
COX10,HGNC:2260,Leigh syndrome,MONDO:0009723,AR,SOP6,Moderate,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_48794019-db9d-47c2-9977-4dc76a7d07b3-2019-05-20T182801.393Z,2019-05-20T18:28:01.393Z,Mitochondrial Diseases Gene Curation Expert Panel,COX10,HGNC:2260,chr17:13972821-14111994,chr17:14069504-14208677,Gene Associated with Autosomal Recessive Phenotype,,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=COX10&subject=,2016-08-22T17:47:23Z,Not Found
MYL2,HGNC:7583,dilated cardiomyopathy,MONDO:0005021,AD,SOP7,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_8405609b-1664-4849-848e-bec138350c92-2020-10-09T160000.000Z,2020-10-09T16:00:00.000Z,Dilated Cardiomyopathy Gene Curation Expert Panel,MYL2,HGNC:7583,chr12:111348649-111358383,chr12:110910845-110921449,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=MYL2&subject=,2015-11-20T22:18:36Z,Not Found
SDHAF1,HGNC:33867,Leigh syndrome,MONDO:0009723,AR,SOP7,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0baf56d2-40f8-465a-9b50-22f57481a5cb-2020-02-12T201133.569Z,2020-02-12T20:11:33.569Z,Mitochondrial Diseases Gene Curation Expert Panel,SDHAF1,HGNC:33867,chr19:36486090-36487214,chr19:35995188-35996312,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=SDHAF1&subject=,2016-08-22T17:52:09Z,Not Found
CTNNA3,HGNC:2511,arrhythmogenic right ventricular cardiomyopathy,MONDO:0016587,AD,SOP7,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_0f1dd946-f2bb-496f-8fea-3dea303e2e76-2019-08-06T160000.000Z,2019-08-06T16:00:00.000Z,Arrhythmogenic Right Ventricular Cardiomyopathy Gene Curation Expert Panel,CTNNA3,HGNC:2511,chr10:67672281-69455953,chr10:65912523-67763594,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=CTNNA3&subject=,2018-10-24T16:40:19Z,Not Found
DISP1,HGNC:19711,holoprosencephaly,MONDO:0016296,AD,SOP9,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ef9d5a3b-d4ec-473b-b5a2-aaa25cf9babd-2022-09-27T090000.000Z,2022-09-27T09:00:00.000Z,Brain Malformations Gene Curation Expert Panel,DISP1,HGNC:19711,chr1:222988381-223179337,chr1:222815039-223005995,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=DISP1&subject=,2012-07-06T19:25:51Z,Not Found
RYR2,HGNC:10484,hypertrophic cardiomyopathy,MONDO:0005045,AD,SOP9,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_3ac9dd09-674f-4d67-94da-234ffb4e5070-2022-12-14T170000.000Z,2022-12-14T17:00:00.000Z,Hereditary Cardiovascular Disease Gene Curation Expert Panel,RYR2,HGNC:10484,chr1:237205484-237997288,chr1:237042184-237833988,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RYR2&subject=,2015-11-06T03:54:07Z,Not Found
BLM,HGNC:1058,colorectal cancer,MONDO:0005575,AD,SOP11,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_37bc882f-34c6-4aea-afea-7b6f037ed9a7-2024-11-22T180000.000Z,2024-11-22T18:00:00.000Z,Hereditary Cancer Gene Curation Expert Panel,BLM,HGNC:1058,chr15:91260577-91359396,chr15:90717346-90816166,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=BLM&subject=,2022-02-09T17:20:52Z,Not Found
ENPP1,HGNC:3356,hypopigmentation-punctate palmoplantar keratoderma syndrome,MONDO:0014227,AD,SOP8,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_ed97faaf-d5ce-4da2-8367-b6fb51a57cbf-2022-06-17T040000.000Z,2022-06-17T04:00:00.000Z,Syndromic Disorders Gene Curation Expert Panel,ENPP1,HGNC:3356,chr6:132129160-132216295,chr6:131808020-131895155,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=ENPP1&subject=,2016-08-22T17:48:10Z,Not Found
DNMT3A,HGNC:2978,Heyn-Sproul-Jackson syndrome,MONDO:0032882,AD,SOP9,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_6c4959e0-72fe-49e2-8e7e-639539dc9095-2023-06-08T060000.000Z,2023-06-08T06:00:00.000Z,Intellectual Disability and Autism Gene Curation Expert Panel,DNMT3A,HGNC:2978,chr2:25450743-25565459,chr2:25227874-25342590,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=DNMT3A&subject=,2024-09-25T16:45:16Z,Not Found
RAF1,HGNC:9829,Noonan syndrome with multiple lentigines,MONDO:0007893,AD,SOP5,Limited,https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_cda0bf05-836b-40bb-99f5-e1dbfd0f6741-2018-07-25T160000.000Z,2018-07-25T16:00:00.000Z,RASopathy Gene Curation Expert Panel,RAF1,HGNC:9829,chr3:12625100-12705616,chr3:12583601-12664117,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://dosage.clinicalgenome.org/clingen_gene.cgi?sym=RAF1&subject=,2018-09-13T18:34:18Z,Not Found
