Gene/Region,Disease Label,SOP,GRCh38,Protein Name
COL1A1,"Ehlers-Danlos syndrome, classic type, 1",SOP9,chr17:50184101-50201631,Collagen alpha-1(I) chain
COL1A1,"Ehlers-Danlos syndrome, classic type, 1",SOP9,chr17:50184101-50201631,Collagen alpha-1(I) chain
COL1A1,"Ehlers-Danlos syndrome, classic type, 1",SOP9,chr17:50184101-50201631,Collagen alpha-1(I) chain
COL1A1,"Ehlers-Danlos syndrome, classic type, 1",SOP9,chr17:50184101-50201631,Collagen alpha-1(I) chain
COL1A1,"Ehlers-Danlos syndrome, classic type, 1",SOP9,chr17:50184101-50201631,Collagen alpha-1(I) chain
COL1A1,"Ehlers-Danlos syndrome, classic type, 1",SOP9,chr17:50184101-50201631,Collagen alpha-1(I) chain
NSDHL,CK syndrome,SOP8,chrX:152831063-152869729,Sterol-4-alpha-carboxylate 3-dehydrogenase
NSDHL,CK syndrome,SOP8,chrX:152831063-152869729,Sterol-4-alpha-carboxylate 3-dehydrogenase
CA8,cerebellar ataxia,SOP10,chr8:60185412-60281400,Carbonic anhydrase-related protein
CA8,cerebellar ataxia,SOP10,chr8:60185412-60281400,Carbonic anhydrase-related protein
C19orf12,neurodegeneration with brain iron accumulation 4,SOP10,chr19:29698886-29715789,Protein C19orf12
GDI1,non-syndromic X-linked intellectual disability,SOP10,chrX:154437154-154443467,Rab GDP dissociation inhibitor alpha
GDI1,non-syndromic X-linked intellectual disability,SOP10,chrX:154437154-154443467,Rab GDP dissociation inhibitor alpha
EDNRB,Waardenburg syndrome type 4A,SOP9,chr13:77895481-77975527,Endothelin receptor type B
EDNRB,Waardenburg syndrome type 4A,SOP6,chr13:77895481-77975527,Endothelin receptor type B
NLGN3,X-linked complex neurodevelopmental disorder,SOP5,chrX:71144841-71175307,Neuroligin-3
FGFR1,Hartsfield-Bixler-Demyer syndrome,SOP8,chr8:38411143-38468635,Fibroblast growth factor receptor 1
FGFR1,Hartsfield-Bixler-Demyer syndrome,SOP8,chr8:38411143-38468635,Fibroblast growth factor receptor 1
FGFR1,Hartsfield-Bixler-Demyer syndrome,SOP8,chr8:38411143-38468635,Fibroblast growth factor receptor 1
FGFR1,Hartsfield-Bixler-Demyer syndrome,SOP8,chr8:38411143-38468635,Fibroblast growth factor receptor 1
FGFR1,osteoglophonic dwarfism,SOP8,chr8:38411143-38468635,Fibroblast growth factor receptor 1
FGFR1,osteoglophonic dwarfism,SOP8,chr8:38411143-38468635,Fibroblast growth factor receptor 1
FGFR1,osteoglophonic dwarfism,SOP8,chr8:38411143-38468635,Fibroblast growth factor receptor 1
FGFR1,osteoglophonic dwarfism,SOP8,chr8:38411143-38468635,Fibroblast growth factor receptor 1
BTD,Leigh syndrome,SOP7,chr3:15601361-15722516,Biotinidase
BTD,Leigh syndrome,SOP7,chr3:15601361-15722516,Biotinidase
BTD,Leigh syndrome,SOP7,chr3:15601361-15722516,Biotinidase
CSTB,developmental and epileptic encephalopathy,SOP8,chr21:43773950-43776308,Cystatin-B
CSTB,developmental and epileptic encephalopathy,SOP8,chr21:43773950-43776308,Cystatin-B
FARS2,Leigh syndrome,SOP6,chr6:5249934-5771583,Phenylalanine--tRNA ligase
DDOST,DDOST-congenital disorder of glycosylation,SOP9,chr1:20651777-20661369,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit
BPNT2,"chondrodysplasia with joint dislocations, gPAPP type",SOP10,chr8:56957931-56993867,Golgi-resident adenosine 3
COL1A2,combined osteogenesis imperfecta and Ehlers-Danlos syndrome 2,SOP9,chr7:94394895-94431227,Collagen alpha-2(I) chain
COL1A2,combined osteogenesis imperfecta and Ehlers-Danlos syndrome 2,SOP9,chr7:94394895-94431227,Collagen alpha-2(I) chain
COL1A2,combined osteogenesis imperfecta and Ehlers-Danlos syndrome 2,SOP9,chr7:94394895-94431227,Collagen alpha-2(I) chain
COL1A2,combined osteogenesis imperfecta and Ehlers-Danlos syndrome 2,SOP9,chr7:94394895-94431227,Collagen alpha-2(I) chain
COL1A2,combined osteogenesis imperfecta and Ehlers-Danlos syndrome 2,SOP9,chr7:94394895-94431227,Collagen alpha-2(I) chain
COL1A2,combined osteogenesis imperfecta and Ehlers-Danlos syndrome 2,SOP9,chr7:94394895-94431227,Collagen alpha-2(I) chain
COL1A2,combined osteogenesis imperfecta and Ehlers-Danlos syndrome 2,SOP9,chr7:94394895-94431227,Collagen alpha-2(I) chain
COL1A2,combined osteogenesis imperfecta and Ehlers-Danlos syndrome 2,SOP9,chr7:94394895-94431227,Collagen alpha-2(I) chain
COL1A2,congenital heart disease,SOP11,chr7:94394895-94431227,Collagen alpha-2(I) chain
COL1A2,congenital heart disease,SOP11,chr7:94394895-94431227,Collagen alpha-2(I) chain
COL1A2,congenital heart disease,SOP11,chr7:94394895-94431227,Collagen alpha-2(I) chain
COL1A2,congenital heart disease,SOP11,chr7:94394895-94431227,Collagen alpha-2(I) chain
COL1A2,congenital heart disease,SOP11,chr7:94394895-94431227,Collagen alpha-2(I) chain
COL1A2,congenital heart disease,SOP11,chr7:94394895-94431227,Collagen alpha-2(I) chain
COL1A2,congenital heart disease,SOP11,chr7:94394895-94431227,Collagen alpha-2(I) chain
COL1A2,congenital heart disease,SOP11,chr7:94394895-94431227,Collagen alpha-2(I) chain
CACNA1S,"malignant hyperthermia, susceptibility to, 5",SOP9,chr1:201039512-201112426,Voltage-dependent L-type calcium channel subunit alpha-1S
CACNA1S,"malignant hyperthermia, susceptibility to, 5",SOP9,chr1:201039512-201112426,Voltage-dependent L-type calcium channel subunit alpha-1S
CALM1,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr14:90396502-90408268,Calmodulin-1
CALM1,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr14:90396502-90408268,Calmodulin-1
CALM1,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr14:90396502-90408268,Calmodulin-1
EPS8,autosomal recessive nonsyndromic hearing loss 102,SOP7,chr12:15620134-15789388,Epidermal growth factor receptor kinase substrate 8
BRAF,Noonan syndrome,SOP5,chr7:140713328-140924929,Serine/threonine-protein kinase B-raf
BRAF,Noonan syndrome,SOP5,chr7:140713328-140924929,Serine/threonine-protein kinase B-raf
BRAF,Noonan syndrome,SOP5,chr7:140713328-140924929,Serine/threonine-protein kinase B-raf
BRAF,Noonan syndrome,SOP5,chr7:140713328-140924929,Serine/threonine-protein kinase B-raf
BRAF,Noonan syndrome,SOP5,chr7:140713328-140924929,Serine/threonine-protein kinase B-raf
BRAF,Noonan syndrome with multiple lentigines,SOP5,chr7:140713328-140924929,Serine/threonine-protein kinase B-raf
BRAF,Noonan syndrome with multiple lentigines,SOP5,chr7:140713328-140924929,Serine/threonine-protein kinase B-raf
BRAF,Noonan syndrome with multiple lentigines,SOP5,chr7:140713328-140924929,Serine/threonine-protein kinase B-raf
BRAF,Noonan syndrome with multiple lentigines,SOP5,chr7:140713328-140924929,Serine/threonine-protein kinase B-raf
BRAF,Noonan syndrome with multiple lentigines,SOP5,chr7:140713328-140924929,Serine/threonine-protein kinase B-raf
BRAF,Costello syndrome,SOP5,chr7:140713328-140924929,Serine/threonine-protein kinase B-raf
BRAF,Costello syndrome,SOP5,chr7:140713328-140924929,Serine/threonine-protein kinase B-raf
BRAF,Costello syndrome,SOP5,chr7:140713328-140924929,Serine/threonine-protein kinase B-raf
BRAF,Costello syndrome,SOP5,chr7:140713328-140924929,Serine/threonine-protein kinase B-raf
BRAF,Costello syndrome,SOP5,chr7:140713328-140924929,Serine/threonine-protein kinase B-raf
NDUFA1,Leigh syndrome,SOP6,chrX:119871832-119876662,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1
NDUFA10,mitochondrial disease,SOP9,chr2:239892442-240025342,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10
NDUFA10,mitochondrial disease,SOP9,chr2:239892442-240025342,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10
NDUFA10,Leigh syndrome,SOP6,chr2:239892442-240025342,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10
NDUFA10,Leigh syndrome,SOP6,chr2:239892442-240025342,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10
ABAT,developmental and epileptic encephalopathy,SOP8,chr16:8674617-8784570,4-aminobutyrate aminotransferase
ABAT,developmental and epileptic encephalopathy,SOP8,chr16:8674617-8784570,4-aminobutyrate aminotransferase
NDUFAF1,mitochondrial disease,SOP8,chr15:41387353-41403026,Complex I intermediate-associated protein 30
NDUFAF1,mitochondrial disease,SOP8,chr15:41387353-41403026,Complex I intermediate-associated protein 30
FOXE3,familial thoracic aortic aneurysm and aortic dissection,SOP4,chr1:47416285-47418052,Forkhead box protein E3
INPP5E,MORM syndrome,SOP9,chr9:136428619-136439845,Phosphatidylinositol polyphosphate 5-phosphatase type IV
INPP5E,MORM syndrome,SOP9,chr9:136428619-136439845,Phosphatidylinositol polyphosphate 5-phosphatase type IV
TBX20,congenital heart disease,SOP10,chr7:35202430-35254100,T-box transcription factor TBX20
TBX20,congenital heart disease,SOP10,chr7:35202430-35254100,T-box transcription factor TBX20
TBX20,congenital heart disease,SOP10,chr7:35202430-35254100,T-box transcription factor TBX20
TBX20,dilated cardiomyopathy,SOP7,chr7:35202430-35254100,T-box transcription factor TBX20
TBX20,dilated cardiomyopathy,SOP7,chr7:35202430-35254100,T-box transcription factor TBX20
TBX20,dilated cardiomyopathy,SOP7,chr7:35202430-35254100,T-box transcription factor TBX20
ITGB3,platelet-type bleeding disorder 16,SOP9,chr17:47253827-47313743,Integrin beta-3
ITGB3,platelet-type bleeding disorder 16,SOP9,chr17:47253827-47313743,Integrin beta-3
ITGB3,platelet-type bleeding disorder 16,SOP9,chr17:47253827-47313743,Integrin beta-3
COL2A1,"spondyloepiphyseal dysplasia, Stanescu type",SOP4,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,"spondyloepiphyseal dysplasia, Stanescu type",SOP4,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,"spondyloepiphyseal dysplasia, Stanescu type",SOP4,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,"spondyloepiphyseal dysplasia, Stanescu type",SOP4,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,"spondyloepiphyseal dysplasia, Stanescu type",SOP4,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,"spondyloepiphyseal dysplasia, Stanescu type",SOP4,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,"spondyloepiphyseal dysplasia, Stanescu type",SOP4,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,"spondyloepiphyseal dysplasia, Stanescu type",SOP4,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,"spondyloepiphyseal dysplasia, Stanescu type",SOP4,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,"spondyloepiphyseal dysplasia, Stanescu type",SOP4,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,spondyloepiphyseal dysplasia with metatarsal shortening,SOP9,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,spondyloepiphyseal dysplasia with metatarsal shortening,SOP9,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,spondyloepiphyseal dysplasia with metatarsal shortening,SOP9,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,spondyloepiphyseal dysplasia with metatarsal shortening,SOP9,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,spondyloepiphyseal dysplasia with metatarsal shortening,SOP9,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,spondyloepiphyseal dysplasia with metatarsal shortening,SOP9,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,spondyloepiphyseal dysplasia with metatarsal shortening,SOP9,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,spondyloepiphyseal dysplasia with metatarsal shortening,SOP9,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,spondyloepiphyseal dysplasia with metatarsal shortening,SOP9,chr12:47972967-48006212,Collagen alpha-1(II) chain
COL2A1,spondyloepiphyseal dysplasia with metatarsal shortening,SOP9,chr12:47972967-48006212,Collagen alpha-1(II) chain
ACTB,ACTB-associated syndromic thrombocytopenia,SOP10,chr7:5527148-5530601,Actin
ACTB,ACTB-associated syndromic thrombocytopenia,SOP10,chr7:5527148-5530601,Actin
ACTB,ACTB-associated syndromic thrombocytopenia,SOP10,chr7:5527148-5530601,Actin
NDUFS7,Leigh syndrome,SOP6,chr19:1383907-1395584,NADH dehydrogenase [ubiquinone] iron-sulfur protein 7
NDUFS7,Leigh syndrome,SOP6,chr19:1383907-1395584,NADH dehydrogenase [ubiquinone] iron-sulfur protein 7
NDUFS8,Leigh syndrome,SOP6,chr11:68030681-68036644,NADH dehydrogenase [ubiquinone] iron-sulfur protein 8
NDUFS8,Leigh syndrome,SOP6,chr11:68030681-68036644,NADH dehydrogenase [ubiquinone] iron-sulfur protein 8
CASQ2,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr1:115700021-115768714,Calsequestrin-2
CASQ2,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr1:115700021-115768714,Calsequestrin-2
CASQ2,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr1:115700021-115768714,Calsequestrin-2
CASQ2,hypertrophic cardiomyopathy,SOP9,chr1:115700021-115768714,Calsequestrin-2
CASQ2,hypertrophic cardiomyopathy,SOP9,chr1:115700021-115768714,Calsequestrin-2
CASQ2,hypertrophic cardiomyopathy,SOP9,chr1:115700021-115768714,Calsequestrin-2
COG1,COG1-congenital disorder of glycosylation,SOP10,chr17:73193055-73208507,Conserved oligomeric Golgi complex subunit 1
COG4,COG4-congenital disorder of glycosylation,SOP9,chr16:70480567-70523554,Conserved oligomeric Golgi complex subunit 4
SLC25A12,mitochondrial disease,SOP9,chr2:171783405-171894244,Electrogenic aspartate/glutamate antiporter SLC25A12
CALM3,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr19:46601074-46610782,Calmodulin-3
CALM3,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr19:46601074-46610782,Calmodulin-3
CALM3,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr19:46601074-46610782,Calmodulin-3
DCHS1,van Maldergem syndrome,SOP10,chr11:6621330-6655809,Protocadherin-16
DCHS1,van Maldergem syndrome,SOP10,chr11:6621330-6655809,Protocadherin-16
DCHS1,congenital heart disease,SOP10,chr11:6621330-6655809,Protocadherin-16
DCHS1,congenital heart disease,SOP10,chr11:6621330-6655809,Protocadherin-16
CALM2,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr2:47160082-47176936,Calmodulin-2
CALM2,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr2:47160082-47176936,Calmodulin-2
CALM2,catecholaminergic polymorphic ventricular tachycardia,SOP7,chr2:47160082-47176936,Calmodulin-2
CCNQ,syndactyly-telecanthus-anogenital and renal malformations syndrome,SOP11,chrX:153587925-153599139,Cyclin-Q
GPHN,sulfite oxidase deficiency due to molybdenum cofactor deficiency type C,SOP9,chr14:66508147-67735355,Gephyrin
GPHN,sulfite oxidase deficiency due to molybdenum cofactor deficiency type C,SOP9,chr14:66508147-67735355,Gephyrin
FGFR3,camptodactyly-tall stature-scoliosis-hearing loss syndrome,SOP8,chr4:1793293-1808867,Fibroblast growth factor receptor 3
FGFR3,camptodactyly-tall stature-scoliosis-hearing loss syndrome,SOP8,chr4:1793293-1808867,Fibroblast growth factor receptor 3
FGFR3,camptodactyly-tall stature-scoliosis-hearing loss syndrome,SOP8,chr4:1793293-1808867,Fibroblast growth factor receptor 3
FGFR3,camptodactyly-tall stature-scoliosis-hearing loss syndrome,SOP8,chr4:1793293-1808867,Fibroblast growth factor receptor 3
FGFR3,camptodactyly-tall stature-scoliosis-hearing loss syndrome,SOP8,chr4:1793293-1808867,Fibroblast growth factor receptor 3
FGFR3,camptodactyly-tall stature-scoliosis-hearing loss syndrome,SOP8,chr4:1793293-1808867,Fibroblast growth factor receptor 3
FGFR3,camptodactyly-tall stature-scoliosis-hearing loss syndrome,SOP8,chr4:1793293-1808867,Fibroblast growth factor receptor 3
FGFR3,camptodactyly-tall stature-scoliosis-hearing loss syndrome,SOP8,chr4:1793293-1808867,Fibroblast growth factor receptor 3
FGFR3,camptodactyly-tall stature-scoliosis-hearing loss syndrome,SOP8,chr4:1793293-1808867,Fibroblast growth factor receptor 3
FGFR3,severe achondroplasia-developmental delay-acanthosis nigricans syndrome,SOP8,chr4:1793293-1808867,Fibroblast growth factor receptor 3
FGFR3,severe achondroplasia-developmental delay-acanthosis nigricans syndrome,SOP8,chr4:1793293-1808867,Fibroblast growth factor receptor 3
FGFR3,severe achondroplasia-developmental delay-acanthosis nigricans syndrome,SOP8,chr4:1793293-1808867,Fibroblast growth factor receptor 3
FGFR3,severe achondroplasia-developmental delay-acanthosis nigricans syndrome,SOP8,chr4:1793293-1808867,Fibroblast growth factor receptor 3
FGFR3,severe achondroplasia-developmental delay-acanthosis nigricans syndrome,SOP8,chr4:1793293-1808867,Fibroblast growth factor receptor 3
FGFR3,severe achondroplasia-developmental delay-acanthosis nigricans syndrome,SOP8,chr4:1793293-1808867,Fibroblast growth factor receptor 3
FGFR3,severe achondroplasia-developmental delay-acanthosis nigricans syndrome,SOP8,chr4:1793293-1808867,Fibroblast growth factor receptor 3
FGFR3,severe achondroplasia-developmental delay-acanthosis nigricans syndrome,SOP8,chr4:1793293-1808867,Fibroblast growth factor receptor 3
FGFR3,severe achondroplasia-developmental delay-acanthosis nigricans syndrome,SOP8,chr4:1793293-1808867,Fibroblast growth factor receptor 3
HGF,nonsyndromic genetic hearing loss,SOP10,chr7:81699010-81770047,Hepatocyte growth factor
HGF,nonsyndromic genetic hearing loss,SOP10,chr7:81699010-81770047,Hepatocyte growth factor
TSPAN7,non-syndromic X-linked intellectual disability,SOP8,chrX:38561542-38688918,Tetraspanin-7
TSPAN7,non-syndromic X-linked intellectual disability,SOP8,chrX:38561542-38688918,Tetraspanin-7
TUFM,mitochondrial disease,SOP9,chr16:28842411-28846348,Elongation factor Tu
TUFM,mitochondrial disease,SOP9,chr16:28842411-28846348,Elongation factor Tu
PSPH,neurometabolic disorder due to serine deficiency,SOP11,chr7:56011064-56051444,Phosphoserine phosphatase
PSPH,neurometabolic disorder due to serine deficiency,SOP11,chr7:56011064-56051444,Phosphoserine phosphatase
GDF2,"telangiectasia, hereditary hemorrhagic, type 5",SOP9,chr10:47322454-47327588,Growth/differentiation factor 2
GDF2,"telangiectasia, hereditary hemorrhagic, type 5",SOP9,chr10:47322454-47327588,Growth/differentiation factor 2
GFM1,Leigh syndrome,SOP6,chr3:158644527-158695581,Elongation factor G
GFM1,Leigh syndrome,SOP6,chr3:158644527-158695581,Elongation factor G
TTN,tibial muscular dystrophy,SOP8,chr2:178525989-178807423,Titin
TTN,tibial muscular dystrophy,SOP8,chr2:178525989-178807423,Titin
TTN,tibial muscular dystrophy,SOP8,chr2:178525989-178807423,Titin
TTN,tibial muscular dystrophy,SOP8,chr2:178525989-178807423,Titin
TTN,tibial muscular dystrophy,SOP8,chr2:178525989-178807423,Titin
TTN,tibial muscular dystrophy,SOP8,chr2:178525989-178807423,Titin
TTN,tibial muscular dystrophy,SOP8,chr2:178525989-178807423,Titin
TTN,"myopathy, myofibrillar, 9, with early respiratory failure",SOP8,chr2:178525989-178807423,Titin
TTN,"myopathy, myofibrillar, 9, with early respiratory failure",SOP8,chr2:178525989-178807423,Titin
TTN,"myopathy, myofibrillar, 9, with early respiratory failure",SOP8,chr2:178525989-178807423,Titin
TTN,"myopathy, myofibrillar, 9, with early respiratory failure",SOP8,chr2:178525989-178807423,Titin
TTN,"myopathy, myofibrillar, 9, with early respiratory failure",SOP8,chr2:178525989-178807423,Titin
TTN,"myopathy, myofibrillar, 9, with early respiratory failure",SOP8,chr2:178525989-178807423,Titin
TTN,"myopathy, myofibrillar, 9, with early respiratory failure",SOP8,chr2:178525989-178807423,Titin
TTN,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr2:178525989-178807423,Titin
TTN,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr2:178525989-178807423,Titin
TTN,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr2:178525989-178807423,Titin
TTN,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr2:178525989-178807423,Titin
TTN,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr2:178525989-178807423,Titin
TTN,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr2:178525989-178807423,Titin
TTN,arrhythmogenic right ventricular cardiomyopathy,SOP7,chr2:178525989-178807423,Titin
TTN,hypertrophic cardiomyopathy,SOP9,chr2:178525989-178807423,Titin
TTN,hypertrophic cardiomyopathy,SOP9,chr2:178525989-178807423,Titin
TTN,hypertrophic cardiomyopathy,SOP9,chr2:178525989-178807423,Titin
TTN,hypertrophic cardiomyopathy,SOP9,chr2:178525989-178807423,Titin
TTN,hypertrophic cardiomyopathy,SOP9,chr2:178525989-178807423,Titin
TTN,hypertrophic cardiomyopathy,SOP9,chr2:178525989-178807423,Titin
TTN,hypertrophic cardiomyopathy,SOP9,chr2:178525989-178807423,Titin
DNM1,developmental and epileptic encephalopathy,SOP10,chr9:128203379-128255244,Dynamin-1
IGLL1,"agammaglobulinemia 2, autosomal recessive",SOP8,chr22:23573125-23580290,Immunoglobulin lambda-like polypeptide 1
WRAP53,dyskeratosis congenita,SOP4,chr17:7686071-7703502,Telomerase Cajal body protein 1
WRAP53,dyskeratosis congenita,SOP4,chr17:7686071-7703502,Telomerase Cajal body protein 1
MTAP,diaphyseal medullary stenosis-bone malignancy syndrome,SOP8,chr9:21802636-21941115,S-methyl-5'-thioadenosine phosphorylase
PAX5,PAX5-related B lymphopenia and autism spectrum disorder,SOP9,chr9:36833269-37034268,Paired box protein Pax-5
PAX5,PAX5-related B lymphopenia and autism spectrum disorder,SOP9,chr9:36833269-37034268,Paired box protein Pax-5
KDM5B,intellectual disability,SOP9,chr1:202724495-202808421,Lysine-specific demethylase 5B
SUCLG1,Leigh syndrome,SOP6,chr2:84423528-84459280,Succinate--CoA ligase [ADP/GDP-forming] subunit alpha
SUCLG1,Leigh syndrome,SOP6,chr2:84423528-84459280,Succinate--CoA ligase [ADP/GDP-forming] subunit alpha
ORC4,Meier-Gorlin syndrome 2,SOP9,chr2:147930396-148021551,Origin recognition complex subunit 4
TRMU,Leigh syndrome,SOP7,chr22:46335714-46357340,Mitochondrial tRNA-specific 2-thiouridylase 1
TRMU,Leigh syndrome,SOP7,chr22:46335714-46357340,Mitochondrial tRNA-specific 2-thiouridylase 1
TRMU,Leigh syndrome,SOP7,chr22:46335714-46357340,Mitochondrial tRNA-specific 2-thiouridylase 1
SYNE4,nonsyndromic genetic hearing loss,SOP7,chr19:36003307-36008813,Nesprin-4
SYNE4,nonsyndromic genetic hearing loss,SOP7,chr19:36003307-36008813,Nesprin-4
GRIK2,complex neurodevelopmental disorder,SOP8,chr6:101393708-102070083,Glutamate receptor ionotropic
GRIK2,complex neurodevelopmental disorder,SOP8,chr6:101393708-102070083,Glutamate receptor ionotropic
WHRN,nonsyndromic genetic hearing loss,SOP10,chr9:114402080-114505473,Whirlin
WHRN,nonsyndromic genetic hearing loss,SOP10,chr9:114402080-114505473,Whirlin
WHRN,nonsyndromic genetic hearing loss,SOP10,chr9:114402080-114505473,Whirlin
SYP,non-syndromic X-linked intellectual disability,SOP8,chrX:49187815-49200193,Synaptophysin
SYP,non-syndromic X-linked intellectual disability,SOP8,chrX:49187815-49200193,Synaptophysin
PDSS2,Leigh syndrome,SOP7,chr6:107152562-107459564,All trans-polyprenyl-diphosphate synthase PDSS2
PDSS2,Leigh syndrome,SOP7,chr6:107152562-107459564,All trans-polyprenyl-diphosphate synthase PDSS2
PDX1,monogenic diabetes,SOP9,chr13:27920000-27926313,Pancreas/duodenum homeobox protein 1
PDX1,monogenic diabetes,SOP9,chr13:27920000-27926313,Pancreas/duodenum homeobox protein 1
TPK1,Leigh syndrome,SOP7,chr7:144451941-144836437,Thiamine pyrophosphokinase 1
TPK1,Leigh syndrome,SOP7,chr7:144451941-144836437,Thiamine pyrophosphokinase 1
ALAD,porphyria due to ALA dehydratase deficiency,SOP10,chr9:113386312-113401284,Delta-aminolevulinic acid dehydratase
TWIST1,TWIST1-related craniosynostosis,SOP8,chr7:19113047-19117636,Twist-related protein 1
TWIST1,TWIST1-related craniosynostosis,SOP8,chr7:19113047-19117636,Twist-related protein 1
TWIST1,TWIST1-related craniosynostosis,SOP8,chr7:19113047-19117636,Twist-related protein 1
TWIST1,Sweeney-Cox syndrome,SOP8,chr7:19113047-19117636,Twist-related protein 1
TWIST1,Sweeney-Cox syndrome,SOP8,chr7:19113047-19117636,Twist-related protein 1
TWIST1,Sweeney-Cox syndrome,SOP8,chr7:19113047-19117636,Twist-related protein 1
DPM3,DPM3-congenital disorder of glycosylation,SOP10,chr1:155139891-155140531,Dolichol-phosphate mannosyltransferase subunit 3
ATP7A,X-linked distal spinal muscular atrophy type 3,SOP9,chrX:77910693-78050395,Copper-transporting ATPase 1
ATP7A,X-linked distal spinal muscular atrophy type 3,SOP9,chrX:77910693-78050395,Copper-transporting ATPase 1
LITAF,Charcot-Marie-Tooth disease,SOP7,chr16:11547722-11640317,Lipopolysaccharide-induced tumor necrosis factor-alpha factor
LITAF,Charcot-Marie-Tooth disease,SOP7,chr16:11547722-11640317,Lipopolysaccharide-induced tumor necrosis factor-alpha factor
LITAF,Charcot-Marie-Tooth disease,SOP7,chr16:11547722-11640317,Lipopolysaccharide-induced tumor necrosis factor-alpha factor
LBR,regressive spondylometaphyseal dysplasia,SOP10,chr1:225401502-225428821,Delta(14)-sterol reductase LBR
LBR,regressive spondylometaphyseal dysplasia,SOP10,chr1:225401502-225428821,Delta(14)-sterol reductase LBR
LBR,Greenberg dysplasia,SOP10,chr1:225401502-225428821,Delta(14)-sterol reductase LBR
LBR,Greenberg dysplasia,SOP10,chr1:225401502-225428821,Delta(14)-sterol reductase LBR
SERPINB6,nonsyndromic genetic hearing loss,SOP9,chr6:2948159-2971793,Serpin B6
SERPINB6,nonsyndromic genetic hearing loss,SOP9,chr6:2948159-2971793,Serpin B6
FOXRED1,Leigh syndrome,SOP6,chr11:126269154-126278126,FAD-dependent oxidoreductase domain-containing protein 1
FOXRED1,Leigh syndrome,SOP6,chr11:126269154-126278126,FAD-dependent oxidoreductase domain-containing protein 1
PMM2,hyperinsulinemic hypoglycemia with polycystic kidney disease,SOP10,chr16:8797839-8849325,Phosphomannomutase 2
PMM2,hyperinsulinemic hypoglycemia with polycystic kidney disease,SOP10,chr16:8797839-8849325,Phosphomannomutase 2
PMM2,PMM2-congenital disorder of glycosylation,SOP10,chr16:8797839-8849325,Phosphomannomutase 2
PMM2,PMM2-congenital disorder of glycosylation,SOP10,chr16:8797839-8849325,Phosphomannomutase 2
SOX3,SOX3-related X-linked pituitary hormone deficiency with or without intellectual developmental disorder,SOP10,chrX:140502985-140505069,Transcription factor SOX-3
SOX3,SOX3-related X-linked pituitary hormone deficiency with or without intellectual developmental disorder,SOP10,chrX:140502985-140505069,Transcription factor SOX-3
COX10,Leigh syndrome,SOP6,chr17:14069504-14208677,Protoheme IX farnesyltransferase
COX10,Leigh syndrome,SOP6,chr17:14069504-14208677,Protoheme IX farnesyltransferase
SDHAF1,Leigh syndrome,SOP7,chr19:35995188-35996312,Succinate dehydrogenase assembly factor 1
SDHAF1,Leigh syndrome,SOP7,chr19:35995188-35996312,Succinate dehydrogenase assembly factor 1
